날짜,금융투자,보험,투신,사모,은행,기타금융,연기금,기타법인,개인,외국인,기타외국인,기관합계,전체
2020-08-10,-1120696400,-333365000,-229195850,44312800,0,0,8486650,143419300,5094342700,-3617474800,10170600,-1487038500,0
2020-08-11,615642250,137802200,930901300,28587900,0,0,0,206228400,-1418363250,-476630700,-24168100,1919162050,0
2020-08-12,859118100,1228140650,2614638450,875389650,178363900,51772100,1416313450,853566850,-11463511800,3592926200,-206717550,8077303150,0
2020-08-13,279816150,163562100,480591950,-82312950,140351950,0,2687652700,-333354650,-1762957550,-1501794800,-71554900,3336307250,0
2020-08-14,-83044750,227566650,231538500,-304948850,31799000,-108655700,250986050,-176097250,2284122750,-2338845450,-14420950,69143650,0
2020-08-18,354695850,-42268050,-989712200,-388299950,0,0,-165949250,217578650,2008186700,-1038210700,43978950,-1013954950,0
2020-08-19,-1109511000,-58676450,197745550,-78228850,-793363750,39107800,-119250150,-74286600,2224673250,-306382500,78172700,-1996463450,0
2020-08-20,-1022988750,-64722250,-956605750,3455700,-110019900,25615000,-667258400,205634750,3474465650,-909589400,22013350,-2586889600,0
2020-08-21,19505450,2614450,-466016750,39000,-166263350,6400000,280462500,-31037950,138396700,166420400,49479550,-354296650,0
2020-08-24,214433250,-54105900,-182096750,19374900,0,6400000,-385932650,2584750,-839903700,1215008450,4237650,-379342400,0
2020-08-25,228057550,5817250,202004250,127043300,0,0,0,988935700,-3417185000,1876646000,-11319050,1551858050,0
2020-08-26,-352696600,-202960900,-613891600,-548706200,-110623750,0,647829050,40037200,583150050,540476350,17386400,-1141012800,0
2020-08-27,-895085100,-787331100,-525597750,-94902150,0,0,-1464734700,-1075819100,3519514700,1346644650,-22689450,-4843469900,0
2020-08-28,30353550,-392384350,-261281250,225193250,0,0,-339158450,-42006750,-634797850,1416894700,-2812850,-779284000,0
2020-08-31,402193800,0,670619000,13150,0,0,376997000,88117500,-1785454200,247201900,311850,1537940450,0
2020-09-01,763513450,-109600,527997850,102291350,0,93347000,429648900,-8482200,-3847722850,1966914750,-27398650,1908206750,0
2020-09-02,158716100,-96098900,-1340200700,-362932050,0,263922450,-424269250,2608188150,-620860700,-166688800,-19776300,807325800,0
2020-09-03,433322700,-14662700,-408022450,-803400,0,25617700,-338174050,353069450,-1172416550,827245600,294823700,50347250,0
2020-09-04,-401358850,-46660950,-375823200,-6626250,0,0,-734465650,-33882450,-1930862200,3671427950,-141748400,-1598817350,0
2020-09-07,-241247750,-271383900,-86991850,-33975350,0,0,-800961050,23874850,-59521250,1448602550,21603750,-1410685050,0
2020-09-08,105979650,188439250,326447550,152637500,0,-44045000,148385350,1536280950,-4255558850,1995194800,-153761200,2414125250,0
2020-09-09,-284810200,-3934050,-370683000,0,0,0,612164200,-3220950,776192950,-776830650,51121700,-50484000,0
2020-09-10,43404900,-132002300,-691399450,-77729000,0,0,498337450,-52849700,-530972450,1013716200,-70505650,-412238100,0
2020-09-11,-529343650,0,-257692150,-74954900,0,-8946600,365009200,1353200,720323600,-217432900,1684200,-504574900,0
2020-09-14,-68164650,-27601250,-234804350,-170242000,0,0,0,-101831800,410004050,180678400,11961600,-602644050,0
2020-09-15,565839750,-75020550,-304610750,-25540950,0,0,0,887500000,-1626012700,574967450,2877750,1048167500,0
2020-09-16,-118309400,1670500,-98459250,-674376850,0,0,0,153315050,-440746550,1166793150,10113350,-736159950,0
2020-09-17,64406450,144582900,157494050,304137700,16501900,-3546350,-447782500,372062750,-5503070900,4951968950,-56754950,607856900,0
2020-09-18,145343300,-19792200,-269029900,313287150,0,0,-27662700,73242100,751868850,-955760100,-11496500,215387750,0
2020-09-21,-837014200,-14678500,136641150,-26683650,0,0,-67695200,-159500,406611250,387575400,15403250,-809589900,0
2020-09-22,-260006950,23073750,-111816000,-5657550,0,0,419851050,-16304550,-312054700,228179750,34735200,49139750,0
2020-09-23,-13356050,-323850,-70035150,-27744950,0,45347300,597736450,-46853500,-374723900,-88361550,-21684800,484770250,0
2020-09-24,-285777200,10036850,59837500,-182784200,0,0,103516400,-2144709400,4692639650,-2310213700,57454100,-2439880050,0
2020-09-25,39265200,-30104850,79950100,0,0,19840000,-393501650,-1228639450,1214043050,292148100,6999500,-1513190650,0
2020-09-28,646407100,116944650,174045300,1692600,0,0,1002397200,-1685467200,-1787845050,1571220200,-39394800,256019650,0
2020-09-29,-68133850,48143150,13196500,5391700,0,0,4093650,-21900000,-756711350,829446400,-53526200,-19208850,0
2020-10-05,204033300,-3600150,57016700,171347500,0,0,-68369700,809600,-465142900,104116050,-210400,361237250,0
2020-10-06,-703552000,-17742800,-41354800,-95221850,0,0,-29327000,1473400,2503691050,-1638701350,20735350,-885725050,0
2020-10-07,-192758950,-388600,-184953850,0,0,0,16869000,-70895800,-98023100,531259650,-1108350,-432128200,0
2020-10-08,-780038250,-166821300,30811750,-18336750,0,0,-12075000,1215000,1228438550,-287043350,3849350,-945244550,0
2020-10-12,633849950,44354150,-820947600,-18576400,0,16331250,20865000,28198350,-2084398650,2271741300,-91417350,-95925300,0
