날짜,금융투자,보험,투신,사모,은행,기타금융,연기금,기타법인,개인,외국인,기타외국인,전체,기관합계
2020-08-10,-84249,-25036,-17237,3316,0,0,634,10817,381893,-270900,762,0,-111755
2020-08-11,44841,10006,68156,2088,0,0,0,15096,-103025,-35412,-1750,0,140187
2020-08-12,58651,83939,179128,60062,12112,3625,96763,58841,-786078,246852,-13895,0,553121
2020-08-13,19237,11052,32407,-5436,9453,0,180215,-22476,-117646,-101938,-4868,0,224452
2020-08-14,-5132,14769,14207,-20677,1717,-7283,16189,-12154,151200,-151889,-947,0,1636
2020-08-18,25473,-3163,-73557,-28963,0,0,-12321,15847,149458,-76042,3268,0,-76684
2020-08-19,-84845,-4516,14621,-5819,-59360,2888,-9048,-5556,167345,-21539,5829,0,-151635
2020-08-20,-78299,-5025,-74779,270,-8613,2000,-51856,15905,268382,-69685,1700,0,-200397
2020-08-21,1316,200,-36237,3,-13000,500,21464,-2332,11714,12580,3792,0,-28086
2020-08-24,16738,-4205,-14323,1497,0,500,-30000,200,-64957,94220,330,0,-29593
2020-08-25,16921,407,14883,9428,0,0,0,73654,-253944,139494,-843,0,115293
2020-08-26,-26629,-15530,-46685,-41939,-8465,0,48992,3041,44731,41181,1303,0,-87215
2020-08-27,-69162,-61405,-41105,-7368,0,0,-113372,-83215,273344,104024,-1741,0,-375627
2020-08-28,2206,-30257,-20443,17234,0,0,-26288,-3253,-48002,109017,-214,0,-60801
2020-08-31,30384,0,50393,1,0,0,28431,6650,-134414,18531,24,0,115859
2020-09-01,55971,-8,39203,7473,0,6819,31440,-547,-282317,143999,-2033,0,140351
2020-09-02,11190,-6978,-97534,-26468,0,19147,-31163,188752,-43563,-11967,-1416,0,56946
2020-09-03,31175,-1059,-29495,-58,0,1843,-24635,25331,-83867,59390,21375,0,3102
2020-09-04,-29457,-3411,-27393,-481,0,0,-53764,-2538,-140053,267605,-10508,0,-117044
2020-09-07,-17622,-19594,-6295,-2482,0,0,-57969,1734,-3510,104169,1569,0,-102228
2020-09-08,7339,13153,22924,10657,0,-3100,10308,107586,-298701,140590,-10756,0,168867
2020-09-09,-20225,-281,-26507,0,0,0,43392,-230,55461,-55254,3644,0,-3851
2020-09-10,3009,-9429,-49325,-5539,0,0,35466,-3756,-37205,71824,-5045,0,-29574
2020-09-11,-37883,0,-18553,-5393,0,-645,26059,97,51721,-15524,121,0,-36318
2020-09-14,-4872,-1977,-16929,-12234,0,0,0,-7322,29556,12924,854,0,-43334
2020-09-15,40420,-5386,-21828,-1831,0,0,0,63500,-116066,40990,201,0,74875
2020-09-16,-8500,117,-7017,-48167,0,0,0,10921,-30846,82770,722,0,-52646
2020-09-17,4128,9756,10443,20805,1142,-275,-30896,25967,-377752,340531,-3849,0,41070
2020-09-18,10066,-1372,-18778,21731,0,0,-1928,5084,52234,-66243,-794,0,14803
2020-09-21,-59520,-1030,9795,-1877,0,0,-4797,-24,29061,27323,1069,0,-57453
2020-09-22,-19233,1686,-8154,-415,0,0,30819,-1187,-22669,16591,2562,0,3516
2020-09-23,-953,-31,-5154,-2048,0,3308,43389,-3440,-26999,-6500,-1572,0,35071
2020-09-24,-21378,757,4612,-13706,0,0,8068,-162667,355773,-175794,4335,0,-184314
2020-09-25,2915,-2297,6058,0,0,1500,-30000,-93815,92889,22218,532,0,-115639
2020-09-28,47604,8569,12781,124,0,0,73624,-123973,-132277,116464,-2916,0,18729
2020-09-29,-5053,3494,963,394,0,0,283,-1600,-55171,60606,-3916,0,-1519
2020-10-05,14768,-262,4141,12463,0,0,-4995,67,-33587,7420,-15,0,26182
2020-10-06,-52360,-1313,-3088,-7130,0,0,-2166,108,185823,-121410,1536,0,-65949
2020-10-07,-14420,-29,-13835,0,0,0,1256,-5332,-7364,39802,-78,0,-32360
2020-10-08,-58045,-12407,2278,-1369,0,0,-900,90,91478,-21411,286,0,-70353
2020-10-12,45296,3168,-59185,-1336,0,1174,1500,1940,-149160,163139,-6536,0,-7443
2020-10-13,-22062,-5038,-1350,-303,0,-1500,859,207,83678,-54235,-256,0,-29187
2020-10-14,-46430,-5092,-6855,-4435,0,0,-386,-999,137753,-74652,1096,0,-64197
2020-10-15,-10058,-442,-72031,-2151,0,0,918,-14508,113001,-16035,1306,0,-98272
2020-10-16,-7981,-552,18897,-2220,0,0,-15287,3242,19579,-15712,34,0,-3901
2020-10-19,43383,10058,51679,38098,0,0,34134,-1724,-202840,28260,-1048,0,175628
2020-10-20,-9541,-25111,-20116,-3309,0,-10233,-2721,-5478,80045,-3542,6,0,-76509
2020-10-21,27382,-263,-172888,11309,0,0,1620,3940,105144,19774,3982,0,-128900
2020-10-22,-46102,-42700,-27078,-8640,0,-3589,-33746,-5278,199025,-31746,-146,0,-167133
2020-10-23,21018,-25251,19464,0,0,-4792,-20745,-12152,32507,-10509,460,0,-22458
2020-10-26,-7256,-17886,-42506,-47483,0,0,600,2189,134040,-21594,-104,0,-112342
2020-10-27,2339,252,-1464,810,0,0,-1264,1352,-120625,121390,-2790,0,2025
2020-10-28,15937,225,6049,242,0,0,0,-930,-95026,73570,-67,0,21523
2020-10-29,29566,-41706,-5779,-30680,0,0,-16685,220,73953,-8963,74,0,-65064
2020-10-30,-31638,-19429,-9306,2,0,0,-68668,3555,187458,-59456,-2518,0,-125484
2020-11-02,43224,66,3725,0,0,0,2037,1104,-55826,5144,526,0,50156
2020-11-03,26207,-22252,7138,1304,0,-5913,-25239,7018,-1152,12881,8,0,-11737
2020-11-04,12046,-44270,-4601,4420,0,-8151,-57876,240,88641,9449,102,0,-98192
2020-11-05,47042,-18640,6899,735,0,-4965,-22120,-281,-48314,39561,83,0,8670
2020-11-06,-118813,-46540,-85065,-7997,0,0,-85166,98,304686,32969,5828,0,-343483
2020-11-09,17733,-2224,-7001,-3136,0,0,-2072,3089,-73783,67724,-330,0,6389
2020-11-10,7986,219888,195013,196853,9290,19004,201231,-65313,-784431,12086,-11607,0,783952
2020-11-11,40083,15426,15966,-12140,0,1463,90745,30519,-144361,-37176,-525,0,182062
2020-11-12,-31858,-17948,-13558,-6140,0,0,66271,-8978,-76042,87960,293,0,-12211
2020-11-13,29646,-4539,-1441,-6812,0,0,480,4011,2709,-24114,60,0,21345
2020-11-16,32532,-10300,-16852,103,0,-11904,9366,1921,-95481,89756,859,0,4866
2020-11-17,-27857,36498,42140,68074,2500,3159,82818,-43316,-87311,-73826,-2879,0,164016
2020-11-18,21619,-2381,-6456,1888,0,0,13908,5536,-51701,18734,-1147,0,34114
2020-11-19,-13221,-2040,32849,-16456,0,0,44706,-11421,-6396,-32240,4219,0,34417
2020-11-20,29604,3648,2109,3441,-500,0,58395,4399,-56096,-44643,-357,0,101096
2020-11-23,-45416,-14162,-10698,10098,-1250,0,12980,1753,286503,-234346,-5462,0,-46695
2020-11-24,19454,86364,-5580,26663,-500,0,55766,3164,-209018,21303,2384,0,185331
2020-11-25,-45895,102805,-5591,49096,0,0,108103,-11154,-255282,33700,24218,0,197364
2020-11-26,-3814,25883,-22806,15789,0,0,44035,2819,192737,-254513,-130,0,61906
2020-11-27,25305,7,-17249,-9282,-3010,0,-133,3014,-51815,51367,1796,0,-1348
2020-11-30,-91181,10254,-11970,-40228,0,0,-1708,-13025,195428,-50862,3292,0,-147858
2020-12-01,-27683,18781,46915,-10020,0,0,71986,2247,-281694,184475,-5007,0,102226
2020-12-02,66613,18295,98828,16381,2286,0,14133,30047,-159958,-85341,-1284,0,246583
2020-12-03,239,905,-7444,-14705,733,0,-15586,-1360,36732,342,144,0,-37218
2020-12-04,-13980,-3228,-23205,-2560,0,-10165,30811,-2168,33319,-10413,1589,0,-24495
2020-12-07,9871,1077,19493,-391,0,0,17974,-11546,-81805,44082,1245,0,36478
2020-12-08,4032,6005,-6513,-412,0,0,61835,3483,-58359,14562,-24633,0,68430
2020-12-09,6780,-2030,-3164,-2172,0,0,-2218,5291,52377,-56675,1811,0,2487
2020-12-10,43316,38559,7590,-38537,0,-676,27462,10733,-294498,205466,585,0,88447
2020-12-11,-17366,1556,47211,-1994,0,15000,-11313,-9377,47848,-69604,-1961,0,23717
